date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
3/1/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,4,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
3/2/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,4,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
3/3/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,6,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
3/4/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,18,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
3/5/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,27,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
3/6/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,40,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
3/7/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,50,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
3/8/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,58,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
3/9/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,77,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
3/10/2020,US,AK,,2,,,iso1:us#iso2:us-ak,,,,90,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
